country	GDP in current prices (millions of US dollars)	GDP per capita (US dollars)
Total, all countries or areas	80,501,414	10,665
Africa	2,215,906	1,766
Northern Africa	657,861	2,823
Sub-Saharan Africa	1,558,044	1,525
Eastern Africa	350,941	834
Middle Africa	250,577	1,533
Southern Africa	386,563	5,934
Western Africa	569,962	1,532
Americas	26,896,468	26,748
Northern America	21,141,574	58,531
Latin America & the Caribbean	5,754,894	8,931
Caribbean	354,606	8,262
Central America	1,416,752	7,990
South America	3,983,536	9,393
Asia	29,477,988	6,545
Central Asia	261,710	3,694
Eastern Asia	19,634,506	11,914
South-eastern Asia	2,767,984	4,266
Southern Asia	3,726,063	1,994
Western Asia	3,087,724	11,550
Europe	20,253,103	27,222
Eastern Europe	2,999,690	10,257
Northern Europe	4,608,254	44,352
Southern Europe	3,873,340	25,490
Western Europe	8,771,820	44,828
Oceania	1,657,949	41,037
Australia and New Zealand	1,610,720	55,244
Melanesia	38,850	3,764
Micronesia	1,139	3,695
Polynesia	7,241	11,754
Afghanistan	21,993	619
Albania	13,039	4,450
Algeria	167,555	4,055
Andorra	3,013	39,153
Angola	126,506	4,247
Anguilla	281	18,861
Antigua and Barbuda	1,510	14,803
Argentina	637,486	14,400
Armenia	11,537	3,937
Aruba	2,701	25,655
Australia	1,408,676	57,613
Austria	416,836	47,718
Azerbaijan	40,749	4,146
Bahamas	11,792	29,825
Bahrain	35,326	23,668
Bangladesh	245,633	1,492
Barbados	4,713	16,494
Belarus	54,441	5,750
Belgium	494,764	43,289
Belize	1,902	5,077
Benin	9,236	826
Bermuda	6,269	102,192
Bhutan	2,562	3,173
Bolivia (Plurin. State of)	37,509	3,394
Bosnia and Herzegovina	18,169	5,181
Botswana	17,407	7,596
Brazil	2,055,512	9,821
British Virgin Islands	996	31,917
Brunei Darussalam	12,128	28,291
Bulgaria	58,222	8,218
Burkina Faso	12,325	642
Burundi	3,155	290
Cabo Verde	1,773	3,245
Cambodia	22,121	1,382
Cameroon	34,924	1,452
Canada	1,647,120	44,974
Cayman Islands	4,030	65,472
Central African Republic	1,993	428
Chad	10,717	719
Chile	277,081	15,347
China	12,237,782	8,682
China, Hong Kong SAR	341,659	46,390
China, Macao SAR	50,361	80,893
Colombia	309,191	6,302
Comoros	1,082	1,330
Congo	11,292	2,147
Cook Islands	309	17,798
Costa Rica	57,565	11,734
Côte d’Ivoire	38,055	1,566
Croatia	55,201	13,177
Cuba	96,851	8,433
Cyprus	22,054	25,790
Czechia	215,825	20,326
Dem. People's Rep. Korea	17,365	685
Dem. Rep. of the Congo	37,642	463
Denmark	329,866	57,533
Djibouti	1,845	1,928
Dominica	497	6,719
Dominican Republic	75,932	7,052
Ecuador	104,296	6,273
Egypt	195,136	2,000
El Salvador	24,805	3,889
Equatorial Guinea	12,487	9,850
Eritrea	5,813	1,147
Estonia	25,921	19,793
Eswatini	4,409	3,224
Ethiopia	75,605	720
Fiji	4,874	5,382
Finland	252,247	45,670
France	2,582,492	38,415
French Polynesia	5,606	19,807
Gabon	14,623	7,221
Gambia	1,489	709
Georgia	15,159	3,875
Germany	3,693,204	44,976
Ghana	58,996	2,046
Greece	203,086	18,198
Greenland	2,790	49,398
Grenada	1,127	10,451
Guatemala	75,620	4,471
Guinea	10,208	803
Guinea-Bissau	1,347	724
Guyana	3,543	4,555
Haiti	8,521	776
Honduras	22,979	2,480
Hungary	139,761	14,376
Iceland	24,477	73,060
India	2,575,667	1,923
Indonesia	1,015,539	3,847
Iran (Islamic Republic of)	460,976	5,680
Iraq	182,024	4,756
Ireland	331,430	69,604
Israel	353,268	42,452
Italy	1,943,835	32,747
Jamaica	14,827	5,130
Japan	4,872,415	38,220
Jordan	40,708	4,196
Kazakhstan	159,407	8,756
Kenya	74,938	1,508
Kiribati	197	1,694
Kosovo	7,228	4,116
Kuwait	119,534	28,897
Kyrgyzstan	7,565	1,251
Lao People's Dem. Rep.	16,853	2,457
Latvia	30,463	15,625
Lebanon	53,394	8,778
Lesotho	2,632	1,178
Liberia	2,763	584
Libya	25,127	3,942
Liechtenstein	6,296	166,022
Lithuania	47,544	16,450
Luxembourg	62,316	106,806
Madagascar	13,208	517
Malawi	6,339	340
Malaysia	314,707	9,951
Maldives	4,866	11,151
Mali	15,236	822
Malta	12,553	29,137
Marshall Islands	199	3,753
Mauritania	4,992	1,129
Mauritius	13,366	10,565
Mexico	1,158,229	8,967
Micronesia (Fed. States of)	336	3,188
Monaco	6,401	165,421
Mongolia	11,135	3,620
Montenegro	4,845	7,703
Montserrat	60	11,582
Morocco	109,709	3,070
Mozambique	12,652	426
Myanmar	67,102	1,257
Namibia	13,245	5,227
Nauru	114	10,045
Nepal	24,870	849
Netherlands	830,573	48,754
New Caledonia	9,894	35,815
New Zealand	202,044	42,935
Nicaragua	13,814	2,222
Niger	8,120	378
Nigeria	375,770	1,969
North Macedonia	11,280	5,415
Norway	399,470	75,295
Oman	70,784	15,267
Pakistan	302,139	1,534
Palau	292	13,417
Panama	61,838	15,088
Papua New Guinea	22,006	2,667
Paraguay	29,435	4,322
Peru	211,403	6,572
Philippines	313,595	2,989
Poland	526,212	13,786
Portugal	195,041	18,882
Puerto Rico	104,219	28,451
Qatar	167,605	63,506
Republic of Korea	1,530,751	30,025
Republic of Moldova	8,128	2,006
Romania	211,804	10,763
Russian Federation	1,577,524	10,956
Rwanda	9,136	748
Saint Kitts and Nevis	931	16,818
Saint Lucia	1,718	9,607
Saint Vincent & Grenadines	780	7,099
Samoa	856	4,356
San Marino	1,690	50,588
Sao Tome and Principe	393	1,921
Saudi Arabia	683,827	20,761
Senegal	21,126	1,333
Serbia	41,590	5,912
Seychelles	1,487	15,693
Sierra Leone	3,740	495
Singapore	323,901	56,737
Slovakia	95,618	17,552
Slovenia	48,456	23,296
Solomon Islands	1,212	1,982
Somalia	1,535	104
South Africa	348,872	6,151
South Sudan	5,694	453
Spain	1,314,314	28,354
Sri Lanka	87,357	4,184
State of Palestine	14,498	2,946
Sudan	120,266	2,967
Suriname	3,807	6,757
Sweden	535,607	54,043
Switzerland	678,938	80,101
Syrian Arab Republic	15,183	831
Tajikistan	7,146	801
Thailand	455,303	6,595
Timor-Leste	2,955	2,279
Togo	4,786	614
Tonga	427	3,950
Trinidad and Tobago	22,105	16,145
Tunisia	40,069	3,475
Turkey	851,542	10,546
Turkmenistan	37,915	6,585
Turks and Caicos Islands	1,017	28,689
Tuvalu	44	3,924
Uganda	27,699	646
Ukraine	112,154	2,536
United Arab Emirates	382,575	40,699
United Kingdom	2,631,228	39,758
United Rep. of Tanzania	52,090	934
United States of America	19,485,394	60,055
Uruguay	59,180	17,120
Uzbekistan	49,677	1,557
Vanuatu	864	3,128
Venezuela (Boliv. Rep. of)	255,093	7,977
Viet Nam	223,780	2,342
Yemen	27,957	990
Zambia	25,868	1,513
Zanzibar	1,391	920
Zimbabwe	18,037	1,091
