Country	Current_health_expenditure_per_person_USD
Afghanistan	67.1
Algeria	258.5
Andorra	4040.8
Angola	114.5
Antigua and Barbuda	673.9
Argentina	1324.6
Armenia	407.6
Australia	5331.8
Austria	4939.9
Azerbaijan	275.8
Bahamas	1771.5
Bahrain	1127.2
Bangladesh	36.3
Barbados	1183.8
Belarus	342.5
Belgium	4507.4
Belize	280.5
Benin	30.8
Bhutan	96.8
Bolivia (Plurinational State of)	220.3
Bosnia and Herzegovina	460.5
Botswana	465.9
Brazil	928.8
Brunei Darussalam	671.4
Bulgaria	663.7
Burkina Faso	44.4
Burundi	23.5
Cabo Verde	167.6
Cambodia	82.1
Cameroon	67.8
Canada	4754.9
Central African Republic	24.2
Chad	29.7
Chile	1382
China	440.8
Colombia	459.2
Comoros	58.8
Congo	50
Cook Islands	588.7
Costa Rica	869.1
C̫te d'Ivoire	69.7
Croatia	902.1
Cuba	987.6
Cyprus	1731.7
Czechia	1475.9
Democratic Republic of the Congo	19.4
Denmark	5800.2
Djibouti	70.3
Dominica	439.6
Dominican Republic	433.2
Ecuador	518
Egypt	105.8
El Salvador	282.5
Equatorial Guinea	301.2
Eritrea	32.9
Estonia	1300.5
Eswatini	224.7
Ethiopia	25.3
Fiji	188.4
Finland	4205.7
France	4379.7
Gabon	204.5
Gambia	23.3
Georgia	293.1
Germany	5033.5
Ghana	66.7
Greece	1516.6
Grenada	497.2
Guatemala	259.9
Guinea	33.7
Guinea-Bissau	52.4
Guyana	230.5
Haiti	62.4
Honduras	195.9
Hungary	981.4
Iceland	6086.3
India	69.3
Indonesia	115
Iran (Islamic Republic of)	475.5
Iraq	210.3
Ireland	4976.9
Israel	3144.6
Italy	2840.1
Jamaica	307.2
Japan	4169
Jordan	340.7
Kazakhstan	279.6
Kenya	76.6
Kiribati	171.4
Kuwait	1529.1
Kyrgyzstan	78.8
Lao People's Democratic Republic	62.1
Latvia	930.4
Lebanon	719.4
Lesotho	104.6
Liberia	56.6
Libya	NA
Lithuania	1078.2
Luxembourg	5782.6
Madagascar	24.7
Malawi	32.3
Malaysia	384.1
Maldives	1006.9
Mali	31.4
Malta	2585.6
Marshall Islands	642.2
Mauritania	48.8
Mauritius	599.7
Mexico	494.7
Micronesia (Federated States of)	424.8
Monaco	2932.4
Mongolia	148.8
Morocco	161
Mozambique	21.1
Myanmar	58
Namibia	447.3
Nauru	1106.8
Nepal	47.9
Netherlands	4911.4
New Zealand	3937.2
Nicaragua	192.1
Niger	29.3
Nigeria	73.9
Niue	1258.9
Norway	7936.4
Oman	587.6
Pakistan	44.6
Palau	1596.4
Panama	1112.3
Papua New Guinea	61.5
Paraguay	381.1
Peru	332.6
Philippines	132.9
Poland	906.8
Portugal	1908
Qatar	1649.2
Republic of Korea	2283.1
Republic of Moldova	191.2
Romania	555.1
Russian Federation	585.9
Rwanda	49.2
Saint Kitts and Nevis	902.7
Saint Lucia	460.1
Saint Vincent and the Grenadines	320.6
Samoa	233.1
San Marino	3361.6
Sao Tome and Principe	119.7
Saudi Arabia	1093.4
Senegal	55
Serbia	528.5
Seychelles	791.7
Sierra Leone	66.4
Singapore	2618.7
Slovakia	1186.1
Slovenia	1920.3
Solomon Islands	101.2
South Africa	499.2
South Sudan	22.9
Spain	2506.5
Sri Lanka	159.5
Sudan	193.8
Suriname	339.3
Sweden	5904.6
Switzerland	9956.3
Syrian Arab Republic	NA
Tajikistan	57.9
Thailand	247
Republic of North Macedonia	328.4
Timor-Leste	83.2
Togo	38
Tonga	222
Trinidad and Tobago	1124.1
Tunisia	250.6
Turkey	444.7
Turkmenistan	456.5
Tuvalu	622.2
Uganda	38.9
Ukraine	177.4
United Arab Emirates	1357
United Kingdom of Great Britain and Northern Ireland	3858.7
United Republic of Tanzania	33.9
United States of America	10246.1
Uruguay	1591.5
Uzbekistan	98.8
Vanuatu	105.7
Venezuela (Bolivarian Republic of)	94.2
Viet Nam	129.6
Yemen	NA
Zambia	67.6
Zimbabwe	110.1
