country	density_of_hospitals
Afghanistan	0.37
Albania	1.36
Antigua and Barbuda	1.11
Armenia	4.03
Azerbaijan	7.97
Bahamas	1.06
Bangladesh	0.17
Barbados	1.05
Belarus	7.45
Belize	2.11
Benin	0.41
Bhutan	1.72
Bolivia (Plurinational State of)	1.07
Bosnia and Herzegovina	1.02
Botswana	1.29
Brunei Darussalam	1.44
Burkina Faso	0.31
Burundi	0.5
Cabo Verde	1
Cambodia	0.57
Cameroon	0.79
Canada	2.27
Central African Republic	0.48
Chad	0.65
Chile	1.04
Comoros	0.68
Costa Rica	0.84
C̫te d'Ivoire	1.71
Croatia	1.54
Cuba	2.04
Cyprus	7.54
Czechia	1.29
Democratic People's Republic of Korea	6.86
Democratic Republic of the Congo	0.45
Denmark	1.01
Dominica	5.56
Ecuador	0.33
Egypt	0.62
El Salvador	0.47
Eritrea	0.36
Estonia	1.94
Eswatini	0.8
Ethiopia	0.22
Fiji	0
Finland	1.38
Gabon	3.53
Gambia	0.7
Georgia	2.21
Ghana	1.36
Grenada	0.94
Guatemala	0.34
Guinea	0.37
Guinea-Bissau	56.45
Guyana	3.38
Haiti	0.24
Honduras	0.36
Hungary	1.02
Iceland	3.64
Indonesia	0.43
Iraq	0.95
Israel	0.56
Italy	2.08
Jamaica	0.75
Jordan	1.94
Kazakhstan	3.52
Kenya	1.47
Kiribati	0
Kyrgyzstan	2.63
Lao People's Democratic Republic	2.25
Latvia	1.56
Lebanon	3.09
Liberia	0.37
Libya	2.64
Lithuania	2.15
Luxembourg	1.13
Madagascar	0.47
Malawi	0.4
Malaysia	0.47
Maldives	6.67
Mali	0.46
Malta	0.93
Marshall Islands	3.8
Mauritania	1.03
Mauritius	0.96
Mexico	3.51
Micronesia (Federated States of)	4.83
Monaco	10.57
Mongolia	2.5
Montenegro	2.09
Myanmar	0.63
Namibia	1.91
Nauru	9.95
Nepal	0.38
Netherlands	0.76
Nicaragua	0.95
Niger	0.55
Oman	1.35
Pakistan	0.53
Panama	0.91
Papua New Guinea	1.57
Paraguay	2.43
Philippines	1.81
Poland	0.94
Portugal	NA
Republic of Korea	3.42
Republic of Moldova	2.12
Romania	1.68
Saint Kitts and Nevis	7.38
Saint Lucia	1.65
Saint Vincent and the Grenadines	0
Samoa	4.2
San Marino	3.18
Sao Tome and Principe	NA
Saudi Arabia	1.04
Senegal	0.16
Serbia	1.09
Seychelles	1.08
Sierra Leone	NA
Singapore	0.5
Slovakia	1.54
Slovenia	1.25
South Africa	0.67
Spain	1.63
Sri Lanka	0.1
Sudan	1.35
Suriname	0.37
Tajikistan	4.68
Thailand	1.84
Togo	0.6
Tonga	3.8
Trinidad and Tobago	NA
Tunisia	2.33
Turkey	1.55
Uganda	0.4
Uruguay	3.93
Vanuatu	2.37
Yemen	2.97
Zambia	0.45
Zimbabwe	0.52
