Country	Proportion_using_clean_fuels
Afghanistan	33
Albania	78
Algeria	78
Andorra	100
Angola	49
Antigua and Barbuda	100
Argentina	100
Armenia	100
Australia	100
Austria	100
Azerbaijan	100
Bahamas	100
Bahrain	100
Bangladesh	20
Barbados	100
Belarus	100
Belgium	100
Belize	86
Benin	7
Bhutan	84
Bolivia (Plurinational State of)	82
Bosnia and Herzegovina	62
Botswana	57
Brazil	100
Brunei Darussalam	100
Bulgaria	100
Burkina Faso	10
Burundi	NA
Cabo Verde	72
Cambodia	20
Cameroon	24
Canada	100
Central African Republic	NA
Chad	NA
Chile	100
China	57
Colombia	94
Comoros	11
Congo	25
Cook Islands	80
Costa Rica	94
C̫te d'Ivoire	22
Croatia	92
Cuba	78
Cyprus	100
Czechia	100
Democratic People's Republic of Korea	13
Democratic Republic of the Congo	NA
Denmark	100
Djibouti	13
Dominica	91
Dominican Republic	90
Ecuador	100
Egypt	100
El Salvador	88
Equatorial Guinea	36
Eritrea	19
Estonia	100
Eswatini	51
Ethiopia	NA
Fiji	44
Finland	100
France	100
Gabon	76
Gambia	NA
Georgia	80
Germany	100
Ghana	26
Greece	100
Grenada	100
Guatemala	43
Guinea	NA
Guinea-Bissau	NA
Guyana	77
Haiti	5
Honduras	54
Hungary	100
Iceland	100
India	49
Indonesia	65
Iran (Islamic Republic of)	100
Iraq	100
Ireland	100
Israel	100
Italy	100
Jamaica	91
Japan	100
Jordan	100
Kazakhstan	100
Kenya	14
Kiribati	7
Kuwait	100
Kyrgyzstan	82
Lao People's Democratic Republic	6
Latvia	100
Lebanon	NA
Lesotho	32
Liberia	NA
Libya	NA
Lithuania	100
Luxembourg	100
Madagascar	NA
Malawi	NA
Malaysia	95
Maldives	100
Mali	NA
Malta	100
Marshall Islands	57
Mauritania	44
Mauritius	100
Mexico	86
Micronesia (Federated States of)	15
Monaco	100
Mongolia	39
Montenegro	66
Morocco	94
Mozambique	NA
Myanmar	23
Namibia	40
Nauru	88
Nepal	30
Netherlands	100
New Zealand	100
Nicaragua	53
Niger	NA
Nigeria	7
Niue	93
Norway	100
Oman	100
Pakistan	44
Palau	100
Panama	90
Papua New Guinea	11
Paraguay	66
Peru	76
Philippines	42
Poland	100
Portugal	100
Qatar	100
Republic of Korea	100
Republic of Moldova	94
Romania	88
Russian Federation	100
Rwanda	NA
Saint Kitts and Nevis	100
Saint Lucia	100
Saint Vincent and the Grenadines	100
Samoa	29
San Marino	100
Sao Tome and Principe	16
Saudi Arabia	100
Senegal	32
Serbia	71
Seychelles	100
Sierra Leone	NA
Singapore	100
Slovakia	100
Slovenia	100
Solomon Islands	9
Somalia	NA
South Africa	85
South Sudan	NA
Spain	100
Sri Lanka	29
Sudan	43
Suriname	90
Sweden	100
Switzerland	100
Syrian Arab Republic	100
Tajikistan	83
Thailand	78
Republic of North Macedonia	68
Timor-Leste	12
Togo	8
Tonga	53
Trinidad and Tobago	100
Tunisia	100
Turkey	NA
Turkmenistan	100
Tuvalu	54
Uganda	NA
Ukraine	95
United Arab Emirates	100
United Kingdom of Great Britain and Northern Ireland	100
United Republic of Tanzania	NA
United States of America	100
Uruguay	100
Uzbekistan	92
Vanuatu	8
Venezuela (Bolivarian Republic of)	100
Viet Nam	70
Yemen	62
Zambia	17
Zimbabwe	29
