country	measles_reported_cases
Afghanistan	2012
Albania	1469
Algeria	3356
Andorra	0
Angola	57
Antigua and Barbuda	1
Argentina	14
Armenia	19
Australia	103
Austria	77
Azerbaijan	55
Bahamas	0
Bahrain	0
Bangladesh	2263
Barbados	0
Belarus	NA
Belgium	117
Belize	0
Benin	493
Bhutan	18
Bolivia (Plurinational State of)	0
Bosnia and Herzegovina	62
Botswana	0
Brazil	10328
Brunei Darussalam	1
Bulgaria	13
Burkina Faso	4072
Burundi	9
Cabo Verde	0
Cambodia	3
Cameroon	814
Canada	18
Central African Republic	224
Chad	NA
Chile	24
China	3940
Colombia	208
Comoros	0
Congo	28
Cook Islands	0
Costa Rica	0
C̫te d'Ivoire	453
Croatia	23
Cuba	0
Cyprus	15
Czechia	207
Democratic People's Republic of Korea	0
Democratic Republic of the Congo	69693
Denmark	8
Djibouti	28
Dominica	0
Dominican Republic	0
Ecuador	19
Egypt	48
El Salvador	NA
Equatorial Guinea	0
Eritrea	70
Estonia	10
Eswatini	NA
Ethiopia	1752
Fiji	0
Finland	15
France	NA
Gabon	1
Gambia	4
Georgia	2199
Germany	543
Ghana	34
Greece	2291
Grenada	0
Guatemala	1
Guinea	482
Guinea-Bissau	28
Guyana	0
Haiti	0
Honduras	0
Hungary	14
Iceland	0
India	19474
Indonesia	5300
Iran (Islamic Republic of)	203
Iraq	489
Ireland	76
Israel	NA
Italy	2682
Jamaica	0
Japan	279
Jordan	0
Kazakhstan	576
Kenya	822
Kiribati	0
Kuwait	NA
Kyrgyzstan	1007
Lao People's Democratic Republic	10
Latvia	25
Lebanon	944
Lesotho	7
Liberia	3781
Libya	1082
Lithuania	30
Luxembourg	NA
Madagascar	21420
Malawi	1
Malaysia	1981
Maldives	1
Mali	499
Malta	6
Marshall Islands	NA
Mauritania	77
Mauritius	NA
Mexico	5
Micronesia (Federated States of)	0
Monaco	0
Mongolia	1
Montenegro	NA
Morocco	483
Mozambique	16
Myanmar	1389
Namibia	9
Nauru	NA
Nepal	260
Netherlands	24
New Zealand	30
Nicaragua	0
Niger	5034
Nigeria	7063
Niue	NA
Norway	12
Oman	0
Pakistan	33007
Palau	NA
Panama	0
Papua New Guinea	13
Paraguay	0
Peru	42
Philippines	20827
Poland	359
Portugal	162
Qatar	2
Republic of Korea	15
Republic of Moldova	340
Romania	6407
Russian Federation	2539
Rwanda	229
Saint Kitts and Nevis	0
Saint Lucia	0
Saint Vincent and the Grenadines	NA
Samoa	NA
San Marino	NA
Sao Tome and Principe	NA
Saudi Arabia	1164
Senegal	12
Serbia	NA
Seychelles	NA
Sierra Leone	NA
Singapore	38
Slovakia	NA
Slovenia	NA
Solomon Islands	NA
Somalia	NA
South Africa	NA
South Sudan	NA
Spain	225
Sri Lanka	1
Sudan	4980
Suriname	NA
Sweden	NA
Switzerland	50
Syrian Arab Republic	NA
Tajikistan	NA
Thailand	NA
Republic of North Macedonia	NA
Timor-Leste	NA
Togo	NA
Tonga	NA
Trinidad and Tobago	NA
Tunisia	NA
Turkey	NA
Turkmenistan	NA
Tuvalu	NA
Uganda	NA
Ukraine	NA
United Arab Emirates	172
United Kingdom of Great Britain and Northern Ireland	1216
United Republic of Tanzania	NA
United States of America	NA
Uruguay	NA
Uzbekistan	NA
Vanuatu	NA
Venezuela (Bolivarian Republic of)	NA
Viet Nam	NA
Yemen	NA
Zambia	NA
Zimbabwe	NA
