Country	Pollution_attributable_death_rate	Pollution_attributable_death_rate_std
Afghanistan	95	211
Albania	105	68
Algeria	40	50
Angola	67	119
Antigua and Barbuda	28	30
Argentina	37	27
Armenia	81	55
Australia	17	8
Austria	39	15
Azerbaijan	55	64
Bahamas	22	20
Bahrain	15	40
Bangladesh	103	149
Barbados	57	31
Belarus	110	61
Belgium	39	16
Belize	35	69
Benin	119	205
Bhutan	88	124
Bolivia (Plurinational State of)	55	64
Bosnia and Herzegovina	159	80
Botswana	53	101
Brazil	31	30
Brunei Darussalam	9	13
Bulgaria	141	62
Burkina Faso	93	206
Burundi	100	180
Cabo Verde	69	99
Cambodia	87	150
Cameroon	118	208
Canada	15	7
Central African Republic	141	212
Chad	181	280
Chile	35	25
China	140	113
Colombia	34	37
Comoros	94	172
Congo	73	131
Costa Rica	27	23
C̫te d'Ivoire	144	269
Croatia	86	35
Cuba	90	50
Cyprus	33	20
Czechia	64	30
Democratic People's Republic of Korea	231	207
Democratic Republic of the Congo	101	164
Denmark	30	13
Djibouti	99	159
Dominican Republic	38	43
Ecuador	22	25
Egypt	73	109
El Salvador	42	42
Equatorial Guinea	100	178
Eritrea	95	174
Estonia	60	25
Eswatini	69	137
Ethiopia	82	144
Fiji	76	99
Finland	19	7
France	25	10
Gabon	51	76
Gambia	97	237
Georgia	184	102
Germany	45	16
Ghana	101	204
Greece	77	28
Grenada	44	45
Guatemala	50	74
Guinea	127	243
Guinea-Bissau	108	215
Guyana	76	108
Haiti	127	184
Honduras	39	61
Hungary	83	39
Iceland	17	9
India	141	184
Indonesia	81	112
Iran (Islamic Republic of)	35	51
Iraq	35	75
Ireland	20	12
Israel	23	15
Italy	49	15
Jamaica	32	25
Japan	43	12
Jordan	26	51
Kazakhstan	57	63
Kenya	40	78
Kiribati	88	140
Kuwait	37	104
Kyrgyzstan	74	111
Lao People's Democratic Republic	110	188
Latvia	98	41
Lebanon	52	51
Lesotho	113	178
Liberia	83	170
Libya	43	72
Lithuania	82	34
Luxembourg	23	12
Madagascar	80	160
Malawi	54	115
Malaysia	35	47
Maldives	14	26
Mali	107	209
Malta	44	20
Mauritania	88	169
Mauritius	48	38
Mexico	33	37
Micronesia (Federated States of)	93	152
Mongolia	97	156
Montenegro	140	79
Morocco	40	49
Mozambique	64	110
Myanmar	116	156
Namibia	75	145
Nepal	133	194
Netherlands	31	14
New Zealand	14	7
Nicaragua	43	56
Niger	140	252
Nigeria	159	307
Norway	19	9
Oman	22	54
Pakistan	113	174
Panama	26	26
Papua New Guinea	90	152
Paraguay	46	57
Peru	58	64
Philippines	117	185
Poland	76	38
Portugal	28	10
Qatar	13	47
Republic of Korea	35	20
Republic of Moldova	107	78
Romania	123	59
Russian Federation	86	49
Rwanda	59	121
Saint Lucia	38	30
Saint Vincent and the Grenadines	48	48
Samoa	62	85
Sao Tome and Principe	82	162
Saudi Arabia	39	84
Senegal	74	161
Serbia	122	62
Seychelles	56	49
Sierra Leone	148	324
Singapore	39	26
Slovakia	59	34
Slovenia	57	23
Solomon Islands	67	137
Somalia	152	213
South Africa	61	87
South Sudan	109	165
Spain	27	10
Sri Lanka	89	80
Sudan	105	185
Suriname	51	57
Sweden	18	7
Switzerland	25	10
Syrian Arab Republic	44	75
Tajikistan	70	129
Thailand	85	61
Republic of North Macedonia	125	82
Timor-Leste	77	140
Togo	115	250
Tonga	57	73
Trinidad and Tobago	45	39
Tunisia	57	56
Turkey	46	47
Turkmenistan	51	79
Uganda	74	156
Ukraine	137	71
United Arab Emirates	16	55
United Kingdom of Great Britain and Northern Ireland	32	14
United Republic of Tanzania	75	139
United States of America	24	13
Uruguay	32	18
Uzbekistan	54	81
Vanuatu	76	136
Venezuela (Bolivarian Republic of)	29	35
Viet Nam	65	64
Yemen	90	194
Zambia	63	127
Zimbabwe	67	133
