Country	Density_of_nurses_midwifes
Afghanistan	1.755
Albania	36.495
Algeria	15.477
Andorra	40.128
Angola	4.075
Antigua and Barbuda	45.171
Argentina	25.996
Armenia	61.07
Australia	125.508
Austria	2.63
Azerbaijan	64.338
Bahamas	45.669
Bahrain	24.944
Bangladesh	4.124
Barbados	30.6
Belarus	110.027
Belgium	194.614
Belize	23.414
Benin	3.888
Bhutan	18.518
Bolivia (Plurinational State of)	15.589
Bosnia and Herzegovina	57.333
Botswana	54.03
Brazil	101.19
Brunei Darussalam	58.974
Bulgaria	48.156
Burkina Faso	8.829
Burundi	8.526
Cabo Verde	12.983
Cambodia	6.855
Cameroon	0.058
Canada	99.438
Central African Republic	2.063
Chad	2.322
Chile	133.248
China	26.621
Colombia	13.309
Comoros	6.285
Congo	6.271
Cook Islands	67.429
Costa Rica	34.144
C̫te d'Ivoire	6.048
Croatia	81.224
Cuba	75.614
Cyprus	52.512
Czechia	83.955
Democratic People's Republic of Korea	44.489
Democratic Republic of the Congo	11.101
Denmark	103.195
Djibouti	7.288
Dominica	64.385
Dominican Republic	13.802
Ecuador	25.059
Egypt	19.262
El Salvador	18.344
Equatorial Guinea	5.024
Eritrea	14.397
Estonia	111.558
Eswatini	41.415
Ethiopia	7.135
Fiji	33.752
Finland	147.374
France	114.707
Gabon	29.46
Gambia	15.447
Georgia	47.293
Germany	132.352
Ghana	42.001
Greece	36.331
Grenada	62.837
Guatemala	0.737
Guinea	1.238
Guinea-Bissau	6.851
Guyana	10.398
Haiti	6.798
Honduras	7.357
Hungary	69.157
Iceland	162.132
India	17.271
Indonesia	24.149
Iran (Islamic Republic of)	4.427
Iraq	20.448
Ireland	160.996
Israel	3.303
Italy	57.401
Jamaica	8.068
Japan	121.531
Jordan	28.212
Kazakhstan	72.936
Kenya	11.656
Kiribati	38.342
Kuwait	74.145
Kyrgyzstan	59.445
Lao People's Democratic Republic	9.522
Latvia	47.517
Lebanon	16.735
Lesotho	32.567
Liberia	5.321
Libya	65.305
Lithuania	98.472
Luxembourg	121.744
Madagascar	1.46
Malawi	4.386
Malaysia	34.676
Maldives	64.282
Mali	3.585
Malta	94.833
Marshall Islands	33.39
Mauritania	9.252
Mauritius	35.152
Mexico	23.961
Micronesia (Federated States of)	20.426
Monaco	201.609
Mongolia	38.938
Montenegro	52.294
Morocco	13.887
Mozambique	6.847
Myanmar	9.993
Namibia	19.54
Nauru	76.636
Nepal	31.084
Netherlands	111.839
New Zealand	124.482
Nicaragua	15.334
Niger	2.695
Nigeria	11.792
Niue	125
Norway	182.248
Oman	41.965
Pakistan	6.683
Palau	72.626
Panama	30.741
Papua New Guinea	4.548
Paraguay	16.604
Peru	24.398
Philippines	49.351
Poland	68.926
Portugal	69.746
Qatar	72.628
Republic of Korea	73.009
Republic of Moldova	49.235
Republic of North Macedonia	37.917
Romania	73.891
Russian Federation	85.429
Rwanda	12.044
Saint Kitts and Nevis	42.188
Saint Lucia	31.547
Saint Vincent and the Grenadines	70.145
Samoa	24.885
San Marino	82.067
Sao Tome and Principe	19.242
Saudi Arabia	54.763
Senegal	3.127
Serbia	60.855
Seychelles	80.773
Sierra Leone	2.239
Singapore	62.432
Slovakia	3.187
Slovenia	99.745
Solomon Islands	21.642
Somalia	1.119
South Africa	13.078
Spain	57.295
Sri Lanka	21.803
Sudan	6.952
Suriname	27.569
Sweden	118.164
Switzerland	175.357
Syrian Arab Republic	15.406
Tajikistan	47.534
Thailand	27.593
Timor-Leste	16.68
Togo	4.102
Tonga	41.57
Trinidad and Tobago	40.934
Tunisia	25.136
Turkey	27.107
Turkmenistan	44.273
Tuvalu	42.609
Uganda	12.382
Ukraine	66.61
United Arab Emirates	57.271
United Kingdom of Great Britain and Northern Ireland	81.723
United Republic of Tanzania	5.843
United States of America	145.48
Uruguay	19.412
Uzbekistan	112.804
Vanuatu	14.247
Venezuela (Bolivarian Republic of)	9.416
Viet Nam	14.463
West Bank and Gaza Strip	NA
Yemen	7.852
Zambia	13.376
Zimbabwe	19.346
